run_id,variant_id,variant_label,factor,factor_level,contrast_variant_id,training_seed,episode_count,robust_success_fraction,mean_upright_fraction_12deg,mean_longest_upright_seconds,mean_pole_angle_rms_radians,mean_cart_position_rms,mean_max_abs_cart_position,mean_abs_cart_velocity,mean_pole_angular_velocity_rms,mean_abs_normalized_action,mean_abs_requested_effort,mean_abs_action_delta,mean_action_total_variation,mean_action_sign_changes_per_second,mean_action_saturation_fraction,time_limit_fraction
phase2_cartpole_controlled_ablation__B0__seed7,B0,Baseline,baseline,official_manager_based_config,,7,25,1.0,0.9980222222222223,29.940666666666665,0.02236726587732873,0.9751130931059181,1.1315900373458863,0.05804902778201633,0.13696910904265117,0.006015825724601746,0.6015864997016059,0.0008972953790886791,1.6142343869805336,0.005333333333333333,0.0004,1.0
phase2_cartpole_controlled_ablation__B0__seed42,B0,Baseline,baseline,official_manager_based_config,,42,25,1.0,0.9931555555555556,29.730666666666664,0.056811930583915246,1.4746456270925505,1.918321213722229,0.24181595458984376,0.13137072361343477,0.025896503533257377,2.589650390625,0.0011152531134545505,2.006340351104736,0.11333333333333334,0.00022222222222222223,1.0
phase2_cartpole_controlled_ablation__B0__seed123,B0,Baseline,baseline,official_manager_based_config,,123,25,1.0,0.9945999999999999,29.787333333333336,0.02978569533273566,0.3449551884126425,0.9275559860467911,0.03689378573099772,0.20901081113721054,0.0049291700972451105,0.49291701456705733,0.0012620881052398895,2.270496501326561,0.048,0.0005333333333333334,1.0
phase2_cartpole_controlled_ablation__O_POS__seed7,O_POS,Position only,observation,position_only,B0,7,25,0.04,0.21761145245615207,1.602666666666667,0.533168066969169,1.455695458712027,2.874279305934906,3.6801193117975917,2.0771063607658204,0.48205123203737665,48.20512599036664,0.061678526429875175,16.845981121063232,1.674037652862621,0.11926080941552736,0.04
phase2_cartpole_controlled_ablation__O_POS__seed42,O_POS,Position only,observation,position_only,B0,42,25,0.0,0.15503336250091415,0.5386666666666666,0.6920347352879557,1.5370463910172396,2.950238800048828,4.450354684744747,2.688169790363209,0.6380237042579865,63.80237431290183,0.07480329468173297,17.834062004089354,1.9009391585556819,0.2330440196472151,0.04
phase2_cartpole_controlled_ablation__O_POS__seed123,O_POS,Position only,observation,position_only,B0,123,25,0.0,0.2723722184888376,0.488,0.31461670457338736,1.4964071783552273,2.9525806140899657,2.1423566477092506,1.715130377242759,0.2960926139613654,29.609260664859274,0.04278287810327555,10.016809158325195,1.7965814147456414,0.03605058149545393,0.0
phase2_cartpole_controlled_ablation__O_H4__seed7,O_H4,4-frame history,observation,position_history_4,O_POS,7,25,0.0,0.5693777777777778,3.3459999999999996,0.24874638899503929,1.2670624900098013,2.182672448158264,1.5702913547092014,0.5110277281836112,0.1705226847330729,17.052268793402778,0.00589776152037726,10.610072975158692,0.5053333333333333,0.0007555555555555555,1.0
phase2_cartpole_controlled_ablation__O_H4__seed42,O_H4,4-frame history,observation,position_history_4,O_POS,42,25,1.0,0.9952,29.809333333333335,0.031130250248680963,0.1825590836702468,0.9363113296031952,0.07937026884290907,0.22182856210286694,0.009758227846357558,0.9758233086480034,0.001193267634472892,2.1466884744167327,0.052000000000000005,0.0009333333333333333,1.0
phase2_cartpole_controlled_ablation__O_H4__seed123,O_H4,4-frame history,observation,position_history_4,O_POS,123,25,1.0,0.9965555555555555,29.86,0.03228201210347539,0.46421909401826755,1.0227144932746888,0.1030404899597168,0.1988741972104232,0.011942097632090249,1.1942097819010415,0.001154879484659039,2.0776281929016114,0.07066666666666667,0.0008444444444444444,1.0
phase2_cartpole_controlled_ablation__R_CV0__seed7,R_CV0,Cart-vel 0,reward,0.0,B0,7,25,1.0,0.9976666666666667,29.919333333333334,0.024250995341090764,1.5219318452844612,1.6175212478637695,0.07244903038872613,0.14307293342404892,0.00781314401626587,0.7813032823350694,0.0008192792158778871,1.4738833093643189,0.034666666666666665,0.0004222222222222222,1.0
phase2_cartpole_controlled_ablation__R_CV0__seed42,R_CV0,Cart-vel 0,reward,0.0,B0,42,25,1.0,0.995688888888889,29.844,0.028067159572379822,0.7159587997605912,1.1682552671432496,0.10123451860215928,0.12951796233240012,0.010679629972245959,1.067962548828125,0.0006930729718656259,1.2468382763862609,0.02,0.0004,1.0
phase2_cartpole_controlled_ablation__R_CV0__seed123,R_CV0,Cart-vel 0,reward,0.0,B0,123,25,1.0,0.9969777777777777,29.889333333333333,0.023074520954491588,1.425764436399838,1.6405670070648193,0.051807047229343,0.17629861819489256,0.005761750147077772,0.576181640625,0.0010461407598354473,1.8820072269439698,0.025333333333333333,0.0005555555555555556,1.0
