variant_id,variant_label,checkpoint_vector_steps,training_transitions,mean_balance_seconds,robust_success_fraction,mean_upright_fraction_12deg,mean_pole_angle_rms_radians,time_limit_fraction
A_E50,Effort 50,1440,5898240,5.0,0.8,0.9677333333333334,0.06630824218900527,1.0
A_E50,Effort 50,1680,6881280,5.0,0.72,0.9654666666666667,0.0673544052024207,1.0
A_E50,Effort 50,1920,7864320,5.0,0.64,0.9657333333333333,0.06716182020190135,1.0
A_E50,Effort 50,2160,8847360,5.0,0.6,0.9633333333333333,0.06924195610393906,1.0
A_E50,Effort 50,2400,9830400,5.0,0.68,0.9629333333333334,0.07148879070835051,1.0
A_E200,Effort 200,240,983040,2.14,0.4,0.571147286047286,0.3189878726125427,0.4
A_E200,Effort 200,480,1966080,3.536,0.2,0.904880786806283,0.11571543467101099,0.2
A_E200,Effort 200,720,2949120,5.0,0.68,0.9544,0.0793969797500287,1.0
A_E200,Effort 200,960,3932160,5.0,0.6,0.9481333333333333,0.08562556251400727,1.0
A_E200,Effort 200,1200,4915200,5.0,0.68,0.95,0.0817055740331745,1.0
A_E200,Effort 200,1440,5898240,5.0,0.6,0.9577333333333334,0.07358702090114899,1.0
A_E200,Effort 200,1680,6881280,5.0,0.64,0.9643999999999999,0.06898610357638617,1.0
A_E200,Effort 200,1920,7864320,5.0,0.64,0.9633333333333333,0.0690691641390337,1.0
A_E200,Effort 200,2160,8847360,5.0,0.64,0.9634666666666667,0.06808594570787477,1.0
A_E200,Effort 200,2400,9830400,5.0,0.64,0.9643999999999999,0.06743260503296505,1.0
T_B15,Bound 1.5,240,983040,2.8746666666666667,0.04,0.4301373812036547,0.42984546832299037,0.24
T_B15,Bound 1.5,480,1966080,4.763999999999999,0.64,0.943374358974359,0.08787169662285514,0.92
T_B15,Bound 1.5,720,2949120,4.808000000000001,0.64,0.9258621701904596,0.12262346679811528,0.92
T_B15,Bound 1.5,960,3932160,5.0,0.68,0.9505333333333332,0.08772503696528304,1.0
T_B15,Bound 1.5,1200,4915200,5.0,0.72,0.9596000000000001,0.07158141227124601,1.0
T_B15,Bound 1.5,1440,5898240,4.766666666666667,0.72,0.9304564102564103,0.09804681611092116,0.92
T_B15,Bound 1.5,1680,6881280,4.918,0.68,0.9349694915254237,0.11663471843167077,0.96
T_B15,Bound 1.5,1920,7864320,5.0,0.32,0.8174666666666667,0.3879732148016272,1.0
T_B15,Bound 1.5,2160,8847360,5.0,0.04,0.8217333333333333,0.15763851865096576,1.0
T_B15,Bound 1.5,2400,9830400,5.0,0.6,0.9422666666666667,0.10235094242673942,1.0
T_B60,Bound 6.0,240,983040,0.41333333333333333,0.0,0.14552825325423763,1.3577459479536076,0.0
T_B60,Bound 6.0,480,1966080,0.388,0.0,0.18355787025924325,1.1438570355491138,0.0
T_B60,Bound 6.0,720,2949120,0.30866666666666664,0.0,0.19887292021031422,0.8768057450912248,0.0
T_B60,Bound 6.0,960,3932160,0.28733333333333333,0.0,0.22696653398201383,0.7510801058609725,0.0
T_B60,Bound 6.0,1200,4915200,0.306,0.0,0.25634581649038507,0.7567041465506565,0.0
T_B60,Bound 6.0,1440,5898240,0.25533333333333336,0.0,0.21462217194570138,0.7640816228704996,0.0
T_B60,Bound 6.0,1680,6881280,0.26799999999999996,0.0,0.19861017551420027,0.787190731502027,0.0
T_B60,Bound 6.0,1920,7864320,0.24866666666666667,0.0,0.17351120448179272,0.8086385045527505,0.0
T_B60,Bound 6.0,2160,8847360,0.24000000000000002,0.0,0.19425141525141526,0.7770205480794465,0.0
T_B60,Bound 6.0,2400,9830400,0.24533333333333335,0.0,0.21082087434409416,0.758366260560438,0.0
