variant_id,contrast_variant_id,training_seed,delta_robust_success_fraction,delta_mean_upright_fraction_12deg,delta_mean_longest_upright_seconds,delta_mean_pole_angle_rms_radians,delta_mean_cart_position_rms,delta_mean_max_abs_cart_position,delta_mean_abs_cart_velocity,delta_mean_pole_angular_velocity_rms,delta_mean_abs_normalized_action,delta_mean_abs_requested_effort,delta_mean_abs_action_delta,delta_mean_action_total_variation,delta_mean_action_sign_changes_per_second,delta_mean_action_saturation_fraction,delta_time_limit_fraction
O_POS,B0,7,-0.96,-0.7804107697660702,-28.337999999999997,0.5108008010918402,0.4805823656061089,1.7426892685890196,3.6220702840155754,1.9401372517231692,0.4760354063127749,47.603539490665035,0.0607812310507865,15.231746734082698,1.6687043195292877,0.11886080941552736,-0.96
O_POS,B0,42,-1.0,-0.8381221930546414,-29.191999999999997,0.6352228047040405,0.06240076392468907,1.0319175863265992,4.2085387301549035,2.556799066749774,0.6121272007247291,61.21272392227683,0.07368804156827842,15.827721652984618,1.7876058252223486,0.23282179742499287,-0.96
O_POS,B0,123,-1.0,-0.7222277815111624,-29.299333333333337,0.2848310092406517,1.1514519899425848,2.0250246280431745,2.105462861978253,1.5061195661055486,0.2911634438641203,29.116343650292215,0.04152078999803566,7.746312656998635,1.7485814147456413,0.0355172481621206,-1.0
O_H4,O_POS,7,-0.04,0.35176632532162566,1.7433333333333327,-0.28442167797412965,-0.18863296870222568,-0.6916068577766419,-2.10982795708839,-1.5660786325822094,-0.3115285473043038,-31.15285719696386,-0.05578076490949792,-6.23590814590454,-1.1687043195292879,-0.11850525385997181,0.96
O_H4,O_POS,42,1.0,0.8401666374990858,29.270666666666667,-0.6609044850392747,-1.3544873073469927,-2.013927470445633,-4.370984415901838,-2.466341228260342,-0.6282654764116289,-62.82655100425383,-0.07361002704726008,-15.687373529672621,-1.8489391585556818,-0.23211068631388176,0.96
O_H4,O_POS,123,1.0,0.7241833370667179,29.372,-0.282334692469912,-1.0321880843369597,-1.929866120815277,-2.039316157749534,-1.516256180032336,-0.2841505163292751,-28.415050882958234,-0.04162799861861651,-7.939180965423583,-1.7259147480789747,-0.03520613705100949,1.0
R_CV0,B0,7,0.0,-0.0003555555555555534,-0.021333333333330984,0.001883729463762033,0.5468187521785431,0.48593121051788324,0.014400002606709802,0.006103824381397754,0.0017973182916641243,0.17971678263346347,-7.801616321079197e-05,-0.14035107761621468,0.029333333333333333,2.2222222222222196e-05,0.0
R_CV0,B0,42,0.0,0.0025333333333333874,0.11333333333333684,-0.028744771011535424,-0.7586868273319594,-0.7500659465789794,-0.14058143598768447,-0.0018527612810346483,-0.015216873561011418,-1.521687841796875,-0.0004221801415889246,-0.7595020747184753,-0.09333333333333334,0.00017777777777777779,0.0
R_CV0,B0,123,0.0,0.002377777777777812,0.10199999999999676,-0.006711174378244072,1.0808092479871956,0.7130110210180282,0.014913261498345279,-0.032712192942317975,0.0008325800498326617,0.08326462605794266,-0.00021594734540444221,-0.38848927438259095,-0.02266666666666667,2.2222222222222196e-05,0.0
R_CV2,B0,7,0.0,-8.88888888889161e-05,-0.009333333333334082,-0.0005753505327632004,-0.013613941059511192,-0.03153503894805909,-0.007240380975935191,0.021761057901150238,-0.0003845903211169774,-0.038462393527560756,-2.356098783619213e-05,-0.0423862171173095,0.018666666666666668,0.00017777777777777784,0.0
