run_id,variant_id,training_seed,evaluation_seed,environment_id,length_steps,termination_reason,robust_success,action_saturation_fraction,action_sign_changes_per_second,action_total_variation,cart_position_rms,longest_upright_seconds,max_abs_cart_position,mean_abs_action_delta,mean_abs_cart_velocity,mean_abs_normalized_action,mean_abs_requested_effort,pole_angle_rms_radians,pole_angular_velocity_rms,upright_fraction_12deg
phase2_cartpole_controlled_ablation__B0__seed7,B0,7,101,0,1800,time_limit,True,0.0011111111111111111,0.0,3.6024813652038574,1.093887764141365,29.916666666666668,1.7619863748550415,0.002002491031241722,0.0694526884290907,0.007276628812154134,0.7276632351345486,0.036886107070495805,0.35494415512573385,0.9972222222222222
phase2_cartpole_controlled_ablation__B0__seed7,B0,7,101,1,1800,time_limit,True,0.0005555555555555556,0.03333333333333333,1.2140142917633057,0.9446767404145231,29.983333333333334,1.091172456741333,0.0006748272883620376,0.07630929734971788,0.00795283317565918,0.79529296875,0.019151285883197332,0.1004023299792465,0.9994444444444445
phase2_cartpole_controlled_ablation__B0__seed7,B0,7,101,2,1800,time_limit,True,0.0,0.0,0.11860644817352295,0.9423979763640384,29.983333333333334,1.0166910886764526,6.592909848444855e-05,0.04543053944905599,0.0046768871943155925,0.4676740180121528,0.019160768285480082,0.008103137466189613,0.9994444444444445
phase2_cartpole_controlled_ablation__B0__seed7,B0,7,101,3,1800,time_limit,True,0.0,0.0,0.8252830505371094,0.9412683595417829,30.0,1.0167156457901,0.0004587454422107334,0.06988764868842232,0.007283066113789876,0.7283167182074652,0.011059969646176709,0.07112080824153505,1.0
phase2_cartpole_controlled_ablation__B0__seed7,B0,7,101,4,1800,time_limit,True,0.0005555555555555556,0.0,1.5290186405181885,0.99798462277315,29.966666666666665,1.0179657936096191,0.0008499269819445183,0.022483047909206813,0.00227926943037245,0.22791737874348958,0.020053682635053867,0.1112239190818094,0.9988888888888889
phase2_cartpole_controlled_ablation__B0__seed7,B0,7,101,5,1800,time_limit,True,0.0005555555555555556,0.03333333333333333,2.5264534950256348,1.0082927769262935,29.85,1.8515686988830566,0.0014043654780576068,0.12922892252604168,0.01351400481330024,1.3513978407118055,0.041281047401184545,0.23478751493956238,0.995
phase2_cartpole_controlled_ablation__B0__seed7,B0,7,101,6,1800,time_limit,True,0.0005555555555555556,0.0,2.408327579498291,0.9707859011347527,29.933333333333334,1.0168544054031372,0.0013387034905493558,0.04704283820258247,0.004797245131598579,0.47970838758680556,0.016637924862780536,0.16449559444362893,0.9977777777777778
phase2_cartpole_controlled_ablation__B0__seed7,B0,7,101,7,1800,time_limit,True,0.0005555555555555556,0.03333333333333333,2.5844671726226807,0.9446295742523009,29.866666666666667,1.1880756616592407,0.001436613214353908,0.11046538458930122,0.011481385760837131,1.1481377495659721,0.03550350165372384,0.22469273060767683,0.9955555555555555
phase2_cartpole_controlled_ablation__B0__seed7,B0,7,101,8,1800,time_limit,True,0.0,0.0,0.6257742643356323,1.0299348792895875,29.983333333333334,1.161049723625183,0.0003478456166401514,0.011279653973049588,0.001167639758851793,0.11676563686794705,0.017602042421767546,0.06342530983746564,0.9994444444444445
phase2_cartpole_controlled_ablation__B0__seed7,B0,7,101,9,1800,time_limit,True,0.0,0.0,0.30320197343826294,0.9777571512223744,29.983333333333334,1.0165849924087524,0.0001685391736732979,0.023643434312608506,0.0024222119649251303,0.2422262912326389,0.016556802385414078,0.03226452681648423,0.9994444444444445
phase2_cartpole_controlled_ablation__B0__seed7,B0,7,101,10,1800,time_limit,True,0.0,0.0,0.3524458706378937,0.9488935485455438,29.983333333333334,1.0166593790054321,0.00019591210152189754,0.03640596601698134,0.0038099278344048393,0.3809983656141493,0.009020217405352053,0.033123310373907484,0.9994444444444445
phase2_cartpole_controlled_ablation__B0__seed7,B0,7,101,11,1800,time_limit,True,0.0,0.0,0.29409876465797424,0.937985732095884,29.983333333333334,1.0167078971862793,0.00016347902426791232,0.05683203379313151,0.005915784835815429,0.591588609483507,0.019728236027768443,0.025381920781597813,0.9994444444444445
phase2_cartpole_controlled_ablation__B0__seed7,B0,7,101,12,1800,time_limit,True,0.0011111111111111111,0.0,3.4097371101379395,1.0078705705707303,29.9,1.0775651931762695,0.0018953513675030237,0.049854003058539494,0.005140259000990126,0.514039543999566,0.03147371955834456,0.2737050867033799,0.9966666666666667
phase2_cartpole_controlled_ablation__B0__seed7,B0,7,101,13,1800,time_limit,True,0.0005555555555555556,0.0,2.485776424407959,0.9303256665338391,29.866666666666667,1.0167148113250732,0.0013817545438621229,0.09876404656304254,0.010256826612684462,1.0257251654730903,0.032819869207976145,0.2132705778961525,0.9955555555555555
phase2_cartpole_controlled_ablation__B0__seed7,B0,7,101,14,1800,time_limit,True,0.0011111111111111111,0.0,3.5864453315734863,1.011237250018339,29.9,1.1038744449615479,0.0019935771715250063,0.0555353758070204,0.005721407996283637,0.5721528455946181,0.02950425283664273,0.29888508217178567,0.9966666666666667
phase2_cartpole_controlled_ablation__B0__seed7,B0,7,101,15,1800,time_limit,True,0.0,0.0,0.9348520040512085,0.9583386053410241,30.0,1.0166831016540527,0.0005196509194281315,0.04059776730007596,0.004165258937411838,0.41653113471137154,0.009703717569087368,0.06503120708408149,1.0
phase2_cartpole_controlled_ablation__B0__seed7,B0,7,101,16,1800,time_limit,True,0.0005555555555555556,0.03333333333333333,2.720999240875244,0.9728250355560796,29.833333333333332,1.528098464012146,0.0015125065263342102,0.1275835418701172,0.013279089397854275,1.3279078504774307,0.04280749957729628,0.24487157072174018,0.9944444444444445
