run_id,variant_id,factor,factor_level,contrast_variant_id,training_seed,status,git_commit,registry_sha256,checkpoint,checkpoint_sha256,training_wall_seconds
phase2_cartpole_controlled_ablation__R_CV2__seed7,R_CV2,reward,-0.02,B0,7,succeeded,a2ddcc55747b6b0e1a46451369a371734315ebff,72c2bf04bda3213469068e31c489e0439a51ab49cfef25ec022b998d3465fa5d,/workspace/isaaclab/logs/skrl/cartpole/2026-07-27_02-06-46_ppo_torch/checkpoints/agent_2400.pt,f5b98862b39e981e1f0e7fb149d7a123d8d73dd7a96e9b9b0450382dbd36caa5,92.23789393800007
phase2_cartpole_controlled_ablation__R_CV2__seed42,R_CV2,reward,-0.02,B0,42,succeeded,a2ddcc55747b6b0e1a46451369a371734315ebff,72c2bf04bda3213469068e31c489e0439a51ab49cfef25ec022b998d3465fa5d,/workspace/isaaclab/logs/skrl/cartpole/2026-07-27_01-47-00_ppo_torch/checkpoints/agent_2400.pt,a88e1251d1c8b661de484b6fd32dc02b1ed9dfccab391a6007dbcfdf3dfac9e7,92.24848351500009
phase2_cartpole_controlled_ablation__R_CV2__seed123,R_CV2,reward,-0.02,B0,123,succeeded,a2ddcc55747b6b0e1a46451369a371734315ebff,72c2bf04bda3213469068e31c489e0439a51ab49cfef25ec022b998d3465fa5d,/workspace/isaaclab/logs/skrl/cartpole/2026-07-27_02-08-18_ppo_torch/checkpoints/agent_2400.pt,2118c93ff9914d84b11c8514ebd2d3e76de19b8bbd8c677e0618b4322c0f8305,92.43007661999991
phase2_cartpole_controlled_ablation__A_E50__seed7,A_E50,action,50.0,B0,7,succeeded,a2ddcc55747b6b0e1a46451369a371734315ebff,72c2bf04bda3213469068e31c489e0439a51ab49cfef25ec022b998d3465fa5d,/workspace/isaaclab/logs/skrl/cartpole/2026-07-27_02-09-50_ppo_torch/checkpoints/agent_2400.pt,1f278fd95ec164b28424106a0c1317d2ebb6c3672e2afe7f4d00cafcfb5e950f,91.831451475
phase2_cartpole_controlled_ablation__A_E50__seed42,A_E50,action,50.0,B0,42,succeeded,a2ddcc55747b6b0e1a46451369a371734315ebff,72c2bf04bda3213469068e31c489e0439a51ab49cfef25ec022b998d3465fa5d,/workspace/isaaclab/logs/skrl/cartpole/2026-07-27_01-48-33_ppo_torch/checkpoints/agent_2400.pt,ea523661784bf90f85b200b0af7b458982eb9c04e973cc6d367a4053a454922a,92.20235759000002
phase2_cartpole_controlled_ablation__A_E50__seed123,A_E50,action,50.0,B0,123,succeeded,a2ddcc55747b6b0e1a46451369a371734315ebff,72c2bf04bda3213469068e31c489e0439a51ab49cfef25ec022b998d3465fa5d,/workspace/isaaclab/logs/skrl/cartpole/2026-07-27_02-11-22_ppo_torch/checkpoints/agent_2400.pt,1f2ff970e03573673179b3f190fb489d4d20bf5720b3b51448c143dae4316921,92.05221470000015
phase2_cartpole_controlled_ablation__A_E200__seed7,A_E200,action,200.0,B0,7,succeeded,a2ddcc55747b6b0e1a46451369a371734315ebff,72c2bf04bda3213469068e31c489e0439a51ab49cfef25ec022b998d3465fa5d,/workspace/isaaclab/logs/skrl/cartpole/2026-07-27_02-12-54_ppo_torch/checkpoints/agent_2400.pt,3097d222e42539fa952a0c7fb364350de2e725eaff14a8578dbc7f738b12144c,91.31803474899971
phase2_cartpole_controlled_ablation__A_E200__seed42,A_E200,action,200.0,B0,42,succeeded,a2ddcc55747b6b0e1a46451369a371734315ebff,72c2bf04bda3213469068e31c489e0439a51ab49cfef25ec022b998d3465fa5d,/workspace/isaaclab/logs/skrl/cartpole/2026-07-27_01-50-05_ppo_torch/checkpoints/agent_2400.pt,e9bf499cb49a3620b1e6909b56b2aab782eb2f439024709931c3de4ee2af0c97,92.06277566500012
phase2_cartpole_controlled_ablation__A_E200__seed123,A_E200,action,200.0,B0,123,succeeded,a2ddcc55747b6b0e1a46451369a371734315ebff,72c2bf04bda3213469068e31c489e0439a51ab49cfef25ec022b998d3465fa5d,/workspace/isaaclab/logs/skrl/cartpole/2026-07-27_02-14-26_ppo_torch/checkpoints/agent_2400.pt,d71915327c59785ede573d33a0f5b4c703fd3e865fdba3a8923aff69e27e8c4c,92.37373524400027
phase2_cartpole_controlled_ablation__T_B15__seed7,T_B15,termination,1.5,B0,7,succeeded,a2ddcc55747b6b0e1a46451369a371734315ebff,72c2bf04bda3213469068e31c489e0439a51ab49cfef25ec022b998d3465fa5d,/workspace/isaaclab/logs/skrl/cartpole/2026-07-27_02-15-58_ppo_torch/checkpoints/agent_2400.pt,6097125b79b0c5dbf109dbb781eeefcaea71d7c0bb1dd0659d16727329df8beb,90.75961155799996
phase2_cartpole_controlled_ablation__T_B15__seed42,T_B15,termination,1.5,B0,42,succeeded,a2ddcc55747b6b0e1a46451369a371734315ebff,72c2bf04bda3213469068e31c489e0439a51ab49cfef25ec022b998d3465fa5d,/workspace/isaaclab/logs/skrl/cartpole/2026-07-27_01-51-37_ppo_torch/checkpoints/agent_2400.pt,cbf332a027e9bb40be0e4563e747275ff51984c7b1a6fa06d72bb36589c3e650,92.03116961899991
phase2_cartpole_controlled_ablation__T_B15__seed123,T_B15,termination,1.5,B0,123,succeeded,a2ddcc55747b6b0e1a46451369a371734315ebff,72c2bf04bda3213469068e31c489e0439a51ab49cfef25ec022b998d3465fa5d,/workspace/isaaclab/logs/skrl/cartpole/2026-07-27_02-17-29_ppo_torch/checkpoints/agent_2400.pt,16c1688a667d3489f6a7dac47dfeb2cc7068b89423b022711c4e6a24b7a74118,92.14755113199999
phase2_cartpole_controlled_ablation__T_B60__seed7,T_B60,termination,6.0,B0,7,succeeded,a2ddcc55747b6b0e1a46451369a371734315ebff,72c2bf04bda3213469068e31c489e0439a51ab49cfef25ec022b998d3465fa5d,/workspace/isaaclab/logs/skrl/cartpole/2026-07-27_02-19-01_ppo_torch/checkpoints/agent_2400.pt,72d1f1bca2a822c054ecd8242b8cc0dce741590b43fe04ab6f1ac2463366260f,81.73377435300017
phase2_cartpole_controlled_ablation__T_B60__seed42,T_B60,termination,6.0,B0,42,succeeded,a2ddcc55747b6b0e1a46451369a371734315ebff,72c2bf04bda3213469068e31c489e0439a51ab49cfef25ec022b998d3465fa5d,/workspace/isaaclab/logs/skrl/cartpole/2026-07-27_01-53-09_ppo_torch/checkpoints/agent_2400.pt,0106cb990e02f890d4cccacd058f29dc4c23d23015e3fcc77b385f625d0c7747,82.29287507599997
phase2_cartpole_controlled_ablation__T_B60__seed123,T_B60,termination,6.0,B0,123,succeeded,a2ddcc55747b6b0e1a46451369a371734315ebff,72c2bf04bda3213469068e31c489e0439a51ab49cfef25ec022b998d3465fa5d,/workspace/isaaclab/logs/skrl/cartpole/2026-07-27_02-20-23_ppo_torch/checkpoints/agent_2400.pt,70af413669e573110c8259fa4a08cc5102f170db9d801676a248eb2dd82add59,81.75398942999982
