variant_id,variant_label,factor,factor_level,n_training_seeds,robust_success_fraction_mean,robust_success_fraction_sd,mean_upright_fraction_12deg_mean,mean_upright_fraction_12deg_sd,mean_longest_upright_seconds_mean,mean_longest_upright_seconds_sd,mean_pole_angle_rms_radians_mean,mean_pole_angle_rms_radians_sd,mean_cart_position_rms_mean,mean_cart_position_rms_sd,mean_max_abs_cart_position_mean,mean_max_abs_cart_position_sd,mean_abs_cart_velocity_mean,mean_abs_cart_velocity_sd,mean_pole_angular_velocity_rms_mean,mean_pole_angular_velocity_rms_sd,mean_abs_normalized_action_mean,mean_abs_normalized_action_sd,mean_abs_requested_effort_mean,mean_abs_requested_effort_sd,mean_abs_action_delta_mean,mean_abs_action_delta_sd,mean_action_total_variation_mean,mean_action_total_variation_sd,mean_action_sign_changes_per_second_mean,mean_action_sign_changes_per_second_sd,mean_action_saturation_fraction_mean,mean_action_saturation_fraction_sd,time_limit_fraction_mean,time_limit_fraction_sd
B0,Baseline,baseline,official_manager_based_config,3,1.0,0.0,0.9952592592592593,0.0024994155695483135,29.819555555555553,0.10864485125261866,0.03632163059799321,0.018128639469938708,0.9315713028703704,0.5661024972863908,1.3258224123716353,0.5231621122785919,0.1122529227009526,0.11270235352795728,0.15911688126443216,0.04329998450884031,0.012280499785034744,0.011804315891521458,1.2280513016312211,1.180430567043809,0.001091545532594373,0.00018354827786141005,1.963690413137277,0.3302033518726765,0.05555555555555556,0.05439498887595084,0.0003851851851851852,0.00015608375930152205,1.0,0.0
O_POS,Position only,observation,position_only,3,0.013333333333333334,0.023094010767585032,0.21500567781530125,0.05871281229210396,0.8764444444444445,0.6294369029655117,0.513273168943504,0.1894939252395823,1.496383009361498,0.04067547153797992,2.9256995733578997,0.04454664914042341,3.4242768814171964,1.1750766981891594,2.160135509457263,0.49180464060515594,0.4720558500855762,0.17118454478465864,47.20558698937592,17.118456819990076,0.059754899738294565,0.016096646365032333,14.898950761159261,4.256824629984515,1.790519408721315,0.11357215441834215,0.1294518035193988,0.09889133399510695,0.02666666666666667,0.023094010767585032
O_H4,4-frame history,observation,position_history_4,3,0.6666666666666666,0.5773502691896257,0.8537111111111111,0.24624082260268987,21.00511111111111,15.293259812862127,0.10405288378239853,0.12530957456189415,0.6379468892327719,0.5627369898212607,1.3805660903453827,0.6959865901050072,0.5842340378372758,0.854032694900743,0.3105768291656338,0.17397456108506323,0.06407433673717357,0.09219344019561436,6.407433961317274,9.219344044708961,0.0027486362131697306,0.002727290058443128,4.944796547492346,4.906394815139188,0.20933333333333334,0.25651337413692704,0.0008444444444444444,8.888888888888889e-05,1.0,0.0
R_CV0,Cart-vel 0,reward,0.0,3,1.0,0.0,0.9967777777777779,0.0010039428442734433,29.884222222222224,0.037925853587893736,0.02513089195598739,0.0026100332626016747,1.22121836048163,0.4402016133635911,1.4754478406906129,0.2662860016716562,0.07516353207340946,0.024825291964542022,0.14962983798378052,0.02406973595171557,0.008084841378529868,0.0024701720762317306,0.8084824905960648,0.24701446807736493,0.0008528309825263201,0.0001789092130366652,1.5342429375648499,0.32185767425296086,0.02666666666666667,0.007423685817106695,0.00045925925925925925,8.413197549333738e-05,1.0,0.0
R_CV2,Cart-vel -0.02,reward,-0.02,3,1.0,0.0,0.9960296296296297,0.0029392476851623412,29.85511111111111,0.11350248814371638,0.0257546709377804,0.005582109602700352,1.0721752559691442,0.2253308284839281,1.227123475074768,0.2019478986785982,0.054084215132395426,0.011276577927559199,0.1476821333222188,0.012196709666343543,0.0058256931181307195,0.001164304429911711,0.5825702645760996,0.11643183233856753,0.0006722749882612887,0.00018040426998375595,1.2094227038820584,0.32454728170077696,0.01911111111111111,0.004682512779045662,0.00043703703703703705,0.0001339491949631491,1.0,0.0
A_E50,Effort 50,action,50.0,3,0.9733333333333333,0.046188021535170036,0.990525925925926,0.0063351784186957355,29.591333333333335,0.33051340534252277,0.03532453636527433,0.010492790099146856,0.890454733161037,0.6832998289953973,1.2659691373507183,0.44725869554362424,0.07116059447284097,0.023564229359435303,0.1568600904592057,0.008007823102225224,0.015409135969479877,0.004934246348731291,0.770449621377168,0.246713792135633,0.001089733279986096,0.0001400602541400652,1.960430170694987,0.25196839719797726,0.03288888888888889,0.013154354299509993,0.0011925925925925925,0.00012239045660635778,1.0,0.0
A_E200,Effort 200,action,200.0,3,1.0,0.0,0.9960370370370372,0.0017877958473409908,29.852888888888888,0.07232437220477456,0.026893912485661992,0.0030662472325161377,0.5766360287607962,0.5420374176303832,1.0458405065536498,0.2851423831310303,0.0466914400877776,0.005715169695922764,0.17188339036509603,0.018272985919770127,0.002648589877729063,0.0002238221819333471,0.5297197608665184,0.04476334967386351,0.0005016357872869122,4.704206795701539e-05,0.9024427813291549,0.0846286802546707,0.011111111111111112,0.006842135252595846,0.00020740740740740737,5.132002392796671e-05,1.0,0.0
T_B15,Bound 1.5,termination,1.5,3,0.9866666666666667,0.023094010767585053,0.9814444444444446,0.012477673888951095,28.716222222222218,0.584085736984004,0.06403939829222921,0.019946984856954394,0.5960772391651478,0.22092139560125887,1.008703822294871,0.0820246914582768,0.23215760671827526,0.2275813737045271,0.24608547152083474,0.027938872142287293,0.032311178184438634,0.02277054586328646,3.2311160107082793,2.277057030822263,0.0037164051300584817,0.003926392808613779,2.2938738662004474,1.4287183928166525,0.16533333333333336,0.16782530599803278,0.0024148148148148145,0.003278085359077639,0.9866666666666667,0.023094010767585053
T_B60,Bound 6.0,termination,6.0,3,0.6533333333333333,0.5661566332149905,0.72040198299032,0.44188887413688294,19.456222222222223,16.82973993769275,0.2936704061493995,0.40425312747120923,0.8190087327729819,0.40639295446016926,1.6557658755779265,0.8863364710432555,3.795860679789327,6.2181820164952954,2.2272389816648284,3.424001244479477,1.2846140249743125,2.1750327303417656,128.46140608853733,217.5032771739566,0.1658052168541335,0.28412097362463773,3.008656695485115,3.1182688989988123,0.023051409618573798,0.030137214701116178,0.2930238106503436,0.49065333750542856,0.6533333333333333,0.5661566332149905
